역명,호선,구,동,상세주소,전화번호,loc1,loc2
학동,7,강남구,논현동,서울특별시 강남구 논현동 279-67 학동역,6311-7310,37.51430113,127.0317745
논현,7,강남구,논현동,서울특별시 강남구 논현동 280 논현역,6311-7320,37.5103021,127.021941
반포,7,서초구,잠원동,서울특별시 서초구 잠원동 103 반포역,6311-7330,37.5083116,127.0118599
고속터미널,7,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),6311-7340,37.50484971,127.0048754
내방,7,서초구,방배동,서울특별시 서초구 방배동 874-16 내방역,6311-7350,37.48812729,126.9932146
이수,7,동작구,사당동,서울특별시 동작구 사당동 144-4 이수역,6311-7360,37.48554336,126.9818866
남성,7,동작구,사당동,서울특별시 동작구 사당동 산 25-33 남성역,6311-7370,37.48473662,126.9711163
숭실대입구(살피재),7,동작구,상도동,서울특별시 동작구 상도동 514 숭실대입구역,6311-7380,37.49582559,126.9540531
상도,7,동작구,상도1동,서울특별시 동작구 상도1동 702-1 상도역,6311-7390,37.50351763,126.9472869
장승배기,7,동작구,상도동,서울특별시 동작구 상도동 26-20 장승배기역,6311-7400,37.50431912,126.9380937
신대방삼거리,7,동작구,대방동,서울특별시 동작구 대방동 406-10 신대방삼거리역,6311-7410,37.4996534,126.9277066
보라매,7,동작구,대방동,서울특별시 동작구 대방동 466-51 보라매역,6311-7420,37.49927303,126.9203365
신풍,7,영등포구,신길동,서울특별시 영등포구 신길동 3599 신풍역,6311-7430,37.50030986,126.9094011
대림(구로구청),7,구로구,대림동,서울특별시 구로구 대림동 1050-17 대림역(7호선),6311-7440,0,0
남구로,7,구로구,구로동,서울특별시 구로구 구로동 801-95 남구로역,6311-7450,37.48491974,126.8867121
가산디지털단지,7,금천구,가산동,서울특별시 금천구 가산동 54-3 가산디지털단지역,6311-7460,37.48082303,126.8829191
철산,7,광명시,철산동,경기도 광명시 철산동 526 철산역,6311-7470,37.47671,126.8699828
광명사거리,7,광명시,광명동,경기도 광명시 광명동 158-211 광명사거리역,6311-7480,37.47980317,126.8530748
천왕,7,구로구,오류동,서울특별시 구로구 오류동 174-6 천왕역,6311-7490,0,0
온수(성공회대입구),7,구로구,온수동,서울특별시 구로구 온수동 53-1 온수역(7호선),6311-7500,37.49224662,126.8232731
까치울,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 3-1 까치울역,6311-7510,37.50613496,126.8007803
부천종합운동장,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역,6311-7520,37.50507939,126.796001
춘의,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 145 춘의역,6311-7530,37.50392391,126.7878488
신중동,7,부천시,원미구 중동,경기도 부천시 원미구 중동 1140-6 신중동역,6311-7540,37.50284527,126.7755859
부천시청,7,부천시,원미구 중동,경기도 부천시 원미구 중동 1243 부천시청역,6311-7550,37.50421357,126.7672686
상동,7,부천시,원미구 상동,경기도 부천시 원미구 상동 633 상동역,6311-7560,37.50577946,126.7530873
삼산체육관,7,부평구,삼산동,인천광역시 부평구 삼산동 466 삼산체육관역,6311-7570,37.50681233,126.7367953
굴포천,7,부평구,삼산동,인천광역시 부평구 삼산동 466 굴포천역,6311-7580,37.50681233,126.7367953
부평구청,7,부평구,갈산동,인천광역시 부평구 갈산동 193-45 부평구청역,6311-7590,37.50762696,126.7208736
암사,8,강동구,암사동,서울특별시 강동구 암사동 501 암사역,6311-8100,37.5511673,127.1282088
천호(풍납토성),8,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",6311-5470,37.53850366,127.1251117
강동구청,8,강동구,성내동,서울특별시 강동구 성내동 319 강동구청역,6311-8120,37.53067409,127.1205761
몽촌토성(평화의문),8,송파구,신천동,서울특별시 송파구 신천동 19 몽촌토성역,6311-8130,37.51698504,127.1107636
잠실(송파구청),8,송파구,잠실동,서울특별시 송파구 잠실동 7-4 잠실역(8호선),6311-8140,0,0
석촌,8,송파구,석촌동,서울특별시 송파구 석촌동 209 석촌역,6311-8150,37.50663686,127.1056225
송파,8,송파구,가락동,서울특별시 송파구 가락동 459-4 송파역,6311-8160,37.49987344,127.112103
가락시장,8,송파구,가락동,"서울특별시 송파구 가락동 184-23 가락시장역(3, 8호선)",6311-8170,37.49291477,127.1182153
문정,8,송파구,문정동,서울특별시 송파구 문정동 119-4 문정역,6311-8180,37.48814916,127.1211573
장지,8,송파구,장지동,서울특별시 송파구 장지동 201-5 장지역,6311-8190,37.4776282,127.1265534
복정,8,송파구,장지동,서울특별시 송파구 장지동 596-21 복정역,6311-8200,37.470747,127.1267296
산성,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 7-4 산성역,6311-8210,37.45659938,127.1502088
