역명,호선,구,동,상세주소,전화번호,loc1,loc2
신답,2,성동구,용답동,서울특별시 성동구 용답동 129-2 신답역,6110-1351,37.57069554,127.0454381
용두(동대문구청),2,동대문구,용두동,서울특별시 동대문구 용두동 47-1 용두역,6110-1361,37.57394181,127.0386537
신설동,2,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),6110-1371,37.5764587,127.0259607
도림천,2,구로구,신도림동,서울특별시 구로구 신도림동 323-16 도림천역,6110-2441,37.51428383,126.8829717
양천구청,2,양천구,신정동,서울특별시 양천구 신정동 276-7 양천구청역,6110-2451,37.51256162,126.8657422
신정네거리,2,양천구,신정동,서울특별시 양천구 신정동 1231 신정네거리역,6110-2461,37.51833068,126.8536292
까치산,2,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역,6110-5180,37.53254002,126.8462607
지축,3,고양시 덕양구,덕양구,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,6110-3191,37.64870193,126.9117801
구파발,3,은평구,진관동,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,6110-3201,37.63758001,126.9185477
연신내,3,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역(3호선),6110-3211,37.6189326,126.920853
불광,3,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(3호선),6110-3221,37.61053751,126.9292988
녹번,3,은평구,녹번동,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,6110-3231,37.60079752,126.9358915
홍제,3,서대문구,홍제동,서울특별시 서대문구 홍제동 161-1 홍제역,6110-3241,37.58731665,126.9458427
무악재,3,서대문구,홍제동,서울특별시 서대문구 홍제동 26-1 무악재역,6110-3251,37.5824229,126.9505663
독립문,3,서대문구,현저동,서울특별시 서대문구 현저동 101 독립문역,6110-3261,37.57448172,126.9560391
경복궁(정부서울청사),3,종로구,적선동,서울특별시 종로구 적선동 81-1 3호선 경복궁역,6110-3271,37.57576114,126.9732065
안국,3,종로구,안국동,서울특별시 종로구 안국동 155-2 3호선 안국역,6110-3281,0,0
종로3가,3,종로구,묘동,서울특별시 종로구 묘동 59 종로3가역(3호선),6110-3291,0,0
을지로3가,3,중구,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),6110-3301,37.56640799,126.9936318
충무로,3,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",6110-4231,37.56120982,126.9943296
동대입구,3,중구,장충동2가,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,6110-3321,37.55921323,127.0051125
약수,3,중구,신당동,서울특별시 중구 신당동 369-44 약수역(3호선),6110-3331,37.55444854,127.0109909
금호,3,성동구,금호동4가,서울특별시 성동구 금호동4가 1470 금호역,6110-3341,37.54811252,127.0158938
옥수,3,성동구,옥수동,서울특별시 성동구 옥수동 168-1 옥수역,6110-3351,37.53992009,127.017224
압구정,3,강남구,신사동,서울특별시 강남구 신사동 668 압구정역,6110-3361,37.52354279,127.0283088
신사,3,강남구,신사동,서울특별시 강남구 신사동 667 신사역,6110-3371,37.51967228,127.0187516
잠원,3,서초구,잠원동,서울특별시 서초구 잠원동 100-1 잠원역,6110-3381,37.51306288,127.0117455
고속터미널,3,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),6110-3391,37.50484971,127.0048754
교대(법원·검찰청),3,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(3호선),6110-3401,37.49486936,127.0173209
남부터미널(예술의전당),3,서초구,서초동,서울특별시 서초구 서초동 1748-30 남부터미널역,6110-3411,37.48659451,127.0152969
양재(서초구청),3,서초구,서초동,서울특별시 서초구 서초동 1366-9 양재역,6110-3421,37.48477886,127.0333842
매봉,3,강남구,도곡동,서울특별시 강남구 도곡동 179-2 매봉역,6110-3431,37.48699381,127.0466804
도곡,3,강남구,도곡동,서울특별시 강남구 도곡동 339-2 도곡역,6110-3441,37.49072017,127.0549213
대치,3,강남구,대치동,서울특별시 강남구 대치동 317-3 대치역,6110-3451,37.49452717,127.0632587
학여울,3,강남구,대치동,서울특별시 강남구 대치동 514-3 학여울역,6110-3461,37.49673369,127.0718401
대청,3,강남구,일원동,서울특별시 강남구 일원동 700-9 대청역,6110-3471,37.49365901,127.0795604
일원,3,강남구,일원동,서울특별시 강남구 일원동 717 일원역,6110-3481,37.48400186,127.0844517
수서,3,강남구,수서동,서울특별시 강남구 수서동 728 수서역,6110-3491,37.48825776,127.1005796
가락시장,3,송파구,가락동,서울특별시 송파구 가락동 184-23 가락시장역,6110-3501,37.49291477,127.1182153
경찰병원,3,송파구,가락동,서울특별시 송파구 가락동 10-15 경찰병원역,6110-3511,37.49826711,127.1256376
오금,3,송파구,오금동,서울특별시 송파구 오금동 44-2 오금역,6110-3521,37.503413,127.1261679
당고개,4,노원구,상계동,서울특별시 노원구 상계동 111 당고개역,6110-4091,37.67060732,127.0793319
상계,4,노원구,상계동,서울특별시 노원구 상계동 156-203 상계역,6110-4101,37.66105774,127.0736302
노원,4,노원구,상계동,서울특별시 노원구 상계동 602-5 노원역(4호선),6110-4111,37.65611513,127.0623965
창동,4,도봉구,창동,서울특별시 도봉구 창동 135-1 창동역,6110-4121,37.65337886,127.0476817
쌍문,4,도봉구,창동,서울특별시 도봉구 창동 703-4 쌍문역,6110-4131,37.64905757,127.0350865
수유(강북구청),4,강북구,수유동,서울특별시 강북구 수유동 140 수유역,6110-4141,37.63745215,127.0249141
미아(서울사이버대학),4,강북구,미아동,서울특별시 강북구 미아동 194-1 미아역,6110-4151,37.6299413,127.0247208
미아사거리,4,강북구,미아동,서울특별시 강북구 미아동 66-1 미아사거리역,6110-4161,37.61499305,127.0300332
길음,4,성북구,길음동,서울특별시 성북구 길음동 877-66 길음역,6110-4171,37.60318391,127.0248232
성신여대입구(돈암),4,성북구,동선동4가,서울특별시 성북구 동선동4가 1 성신여대입구역,6110-4181,37.59309945,127.0167811
한성대입구(삼선교),4,성북구,삼선동1가,서울특별시 성북구 삼선동1가 14 한성대입구역,6110-4191,37.58807477,127.0058101
혜화,4,종로구,명륜4가,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,6110-4201,37.58213258,127.0018147
동대문,4,종로구,종로6가,서울특별시 종로구 종로6가 287-1 동대문역(4호선),6110-4211,0,0
동대문역사문화공원,4,중구,광희동2가,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),6110-4221,37.56469244,127.0073148
충무로,4,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",6110-4231,37.56120982,126.9943296
명동,4,중구,충무로2가,서울특별시 중구 충무로2가 109-2 명동역 4호선,6110-4241,37.56084076,126.9857355
회현(남대문시장),4,중구,남창동,서울특별시 중구 남창동 64-1 회현역 4호선,6110-4251,37.55768773,126.9767195
서울역,4,용산구,용산구,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),6110-4261,0,0
숙대입구(갈월),4,용산구,갈월동,서울특별시 용산구 갈월동 16-7 숙대입구역,6110-4271,37.54556592,126.9719401
삼각지,4,용산구,한강로1가,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),6110-4281,37.53465304,126.9732217
신용산,4,용산구,한강로2가,서울특별시 용산구 한강로2가 181 4호선 신용산역,6110-4291,37.52961556,126.9682159
이촌(국립중앙박물관),4,용산구,용산동5가,서울특별시 용산구 용산동5가 17-112 4호선 이촌역,6110-4301,37.52195101,126.9753786
동작(현충원),4,동작구,동작동,서울특별시 동작구 동작동 327-1 4호선 동작역,6110-4311,37.50286104,126.9799855
총신대입구(이수),4,동작구,사당동,서울특별시 동작구 사당동 736-1 총신대역4호선,6110-4321,37.48807156,126.982279
사당,4,동작구,사당동,서울특별시 동작구 사당동 588-4 사당역(4호선),6110-4331,0,0
남태령,4,서초구,방배동,서울특별시 서초구 방배동 2909 남태령역,6110-4341,37.46437828,126.989278
방화,5,강서구,방화동,서울특별시 강서구 방화동 829-15 방화역,6311-5100,37.57725941,126.8126685
개화산,5,강서구,방화동,서울특별시 강서구 방화동 846 개화산역,6311-5110,37.57231512,126.8057584
김포공항,5,강서구,방화동,서울특별시 강서구 방화동 886 김포공항역,6311-5120,37.56505961,126.8029918
송정,5,강서구,공항동,서울특별시 강서구 공항동 29-5 송정역,6311-5130,37.56147928,126.8105059
